Name,Slice,Inner Major Axis,Inner Minor Axis,Outer Major Axis,Outer Minor Axis,Notes,Moved,Moved To
rect_000015,1,1506,1456,2195,2105,,FALSE,
rect_000015,0,1526,1519,2249,2200,Moved to 35,TRUE,35
rect_000016,3,2229,1082,3175,2923,Filled - look at this cross section,FALSE,
rect_000016,2,2007,884,3808,3468,Moved to 65,TRUE,65
rect_000016,1,2462,1794,3958,3121,,FALSE,
rect_000016,0,2952,2509,3891,3452,Moved to 15,TRUE,15
rect_000017,3,2894,2543,5116,4173,"double cavity, appears to be external layering, not branching. Inner cavity measured as 3b. External major axis measured to outside of double cavity",FALSE,
rect_000017,2,2267,2048,3950,3459,No double cavity,FALSE,
rect_000017,1,2140,2048,4571,3911,"Moved to 30, cross section looks like nama!",TRUE,30
rect_000017,0,2195,2063,4164,3988,,FALSE,
rect_000018,3,1797,1463,5120,3932,double cavity apparent; moved to 83,TRUE,83
rect_000018,2,1936,1799,4344,3850,"No double cavity, but external ornamentation",FALSE,
rect_000018,1,2695,1873,4661,4114,Moved to 38,TRUE,38
rect_000018,0,2953,2474,4888,3630,Broken shell,FALSE,
rect_000019,0,3233,2450,3795,2926,"Note external ""collar"". 0c measured to outside of collar",FALSE,
rect_000019,1,3557,2125,4692,3617,,FALSE,
rect_000019,2,3409,2575,4423,3599,Moved to 50. 2c to outside collar,TRUE,50
rect_000019,3,3344,2422,4415,3881,,FALSE,
rect_000021,3,1528,1421,3771,2679,Moved to 58,TRUE,58
rect_000021,2,1544,1484,3984,2885,Moved to 50,TRUE,50
rect_000021,1,1479,1258,3709,2798,,FALSE,
rect_000021,0,1526,1266,3996,2913,Moved to 23,TRUE,23
rect_000022,3,1342,1014,1923,1443,Broken shell,FALSE,
rect_000022,2,1290,715,2019,1219,Broken shell,FALSE,
rect_000022,1,1264,1027,2470,1797,,FALSE,
rect_000022,0,1512,1180,2899,2170,"Moved to 30. Becomes much larger - also, cross section shows the issue with apical ends, so saved!",TRUE,30
rect_000024,3,1381,1069,2935,2503,"Two cavities, 3b is measurement",FALSE,
rect_000024,2,1068,608,2803,2238,"Two cavities, 2b inner major is inferred because of broken shell. So strange, also saved",FALSE,
rect_000024,1,1162,851,3482,2667,Moved to 32,TRUE,32
rect_000024,0,1812,877,3369,3108,Moved to 8,TRUE,8
rect_000025,3,1945,1859,4164,3163,"Cut off, so everything has to be moved; moved to 33; note that slice 3 is last in this measurement",FALSE,
rect_000025,2,1994,1787,4118,2981,"Moved to 30, note inner shell/split",TRUE,30
rect_000025,1,2070,1695,4516,3373,Moved to 25,TRUE,25
rect_000025,0,2102,1975,4265,3663,,FALSE,
rect_000026,3,3390,2428,5238,4193,Moved to 85,TRUE,85
rect_000026,2,3346,2624,5254,4089,Moved to 80,TRUE,80
rect_000026,1,3351,1770,5206,3851,Moved to 65,TRUE,65
rect_000026,0,3622,2819,5325,4021,Moved to 45,TRUE,45
rect_000027,3,1128,1059,2637,2229,Moved to 90,TRUE,90
rect_000027,2,1092,642,2871,2381,Moved to 50,TRUE,50
rect_000027,1,1057,903,2581,2065,,FALSE,
rect_000027,0,2535,1654,3179,2486,Moved to 0,TRUE,0
rect_000028,3,,,2683,1832,"Multiple inner cavities, so not measured - what's going on with this? Strange model - reexamine",FALSE,
rect_000028,2,,,2555,2057,,FALSE,
rect_000028,1,1992,878,2862,2125,Cavity max dimensions measured,FALSE,
rect_000028,0,,,3273,2348,,FALSE,
rect_000029,3,1027,713,1611,1356,,FALSE,
rect_000029,2,1148,914,1777,1299,,FALSE,
rect_000029,1,1220,847,1767,1324,,FALSE,
rect_000029,0,1095,714,1665,1280,,FALSE,
rect_000030,3,2093,1461,2906,2354,Moved to 75,TRUE,75
rect_000030,2,1663,1369,2837,2438,,FALSE,
rect_000030,1,1568,1360,2421,2210,,FALSE,
rect_000030,0,1420,1315,2484,2077,Moved to 15,TRUE,15
rect_000031,3,1261,594,4037,3813,Asymmetrical -> secondary fill,FALSE,
rect_000031,2,1285,675,4510,3957,,FALSE,
rect_000031,1,1633,986,4218,3489,,FALSE,
rect_000031,0,2165,1820,4336,3545,,FALSE,
rect_000033,3,2536,2172,5293,3733,Moved to 65,TRUE,65
rect_000033,2,2593,2156,5317,3747,,FALSE,
rect_000033,1,3741,2461,5488,3423,,FALSE,
rect_000033,0,3412,2500,5505,3227,Moved to 45,TRUE,45
