Name,Slice,Inner Major Axis,Inner Minor Axis,Outer Major Axis,Outer Minor Axis,Notes,Moved?,Moved To
rect_000022,3,3150,958,3994,2780,Moved to 86; partially filled,TRUE,86
rect_000023,0,2422,1767,3331,3193,,FALSE,
rect_000023,1,1688,1545,3400,3043,Moved to 35; partially filled,TRUE,35
rect_000023,2,1811,1137,3377,2936,Moved to 45; partially filled,TRUE,45
rect_000023,3,,,3027,2530,Moved to 70; totally filled,TRUE,70
rect_000024,0,2109,308,3834,2182,Partially filled interior,FALSE,
rect_000024,1,2597,2244,4226,2966,Moved to 54,TRUE,54
rect_000024,2,2290,1959,4247,3594,Partially filled interior,FALSE,
rect_000024,3,2229,1922,4095,3524,Partially filled interior,FALSE,
rect_000026,0,4573,4090,5457,4511,Rect_000025 note measured as it is fragmented in cross section and difficult to reconstruct. Moved to 30. Filled!,TRUE,30
rect_000026,1,4351,3165,5120,3640,Also filled,FALSE,
rect_000026,2,3221,3063,4746,3559,Another partially filled,FALSE,
rect_000026,3,3017,2737,4825,4362,,FALSE,
